Player Name,Club,Position,Minutes,Goals,Assists,Shots,Shots On Target,Passes%,Conversion %,Touches_per90,Passes_per90,Shots_per90,Assists_per90,Goals_per90,Carries_per90,Progressive Carries_per90,Through Balls_per90,Crosses_per90,Tackles_per90,Interceptions_per90,Ground Duels_per90,Aerial Duels_per90,Saves_per90,Clearances_per90,Fouls_per90
Morgan Rogers,Aston Villa,MID,3129,8,10,55,6,80.0,8.0,43.950143815915624,40.84372003835092,1.581975071907958,0.28763183125599234,0.23010546500479387,8.830297219558965,5.378715244487057,0.23010546500479387,0.23010546500479387,1.236816874400767,1.0354745925215725,4.343240651965484,1.9271332694151486,0.0,0.5177372962607862,1.4381591562799616
Ollie Watkins,Aston Villa,FWD,2610,16,8,84,17,84.0,14.0,27.03448275862069,9.862068965517242,2.896551724137931,0.27586206896551724,0.5517241379310345,4.9655172413793105,2.8620689655172415,0.06896551724137931,0.4482758620689655,0.3448275862068965,0.20689655172413793,4.0,0.5517241379310345,0.0,0.48275862068965514,1.0
Pau Torres,Aston Villa,DEF,2020,0,0,8,15,61.0,12.0,69.54950495049505,11.62871287128713,0.3564356435643564,0.0,0.0,2.762376237623762,0.8465346534653465,0.0,0.0,0.9356435643564357,0.04455445544554455,4.945544554455446,6.861386138613861,0.0,3.297029702970297,0.3564356435643564
Ross Barkley,Aston Villa,MID,569,3,1,16,0,0.0,0.0,77.97891036906854,0.0,2.530755711775044,0.15817223198594024,0.47451669595782076,0.0,0.0,0.0,0.0,2.2144112478031635,0.0,0.0,0.0,0.0,0.7908611599297013,1.265377855887522
Tyrone Mings,Aston Villa,DEF,1121,0,0,9,0,82.0,0.0,64.95093666369313,82.45316681534345,0.7225691347011597,0.0,0.0,21.35593220338983,10.758251561106155,0.08028545941123996,5.459411239964317,0.5619982158786797,3.3719892952720785,15.655664585191792,5.218554861730597,0.0,4.7368421052631575,0.32114183764495985
Youri Tielemans,Aston Villa,MID,3032,3,7,41,6,85.0,7.0,74.71306068601584,21.431398416886545,1.2170184696569921,0.20778364116094988,0.08905013192612138,4.571240105540897,2.908970976253298,0.029683377308707123,1.6325857519788918,2.4934036939313984,0.3265171503957784,2.641820580474934,0.41556728232189977,0.0,1.3654353562005277,1.2170184696569921
Adam Smith,Bournemouth,DEF,1596,0,0,3,0,79.0,0.0,48.214285714285715,29.661654135338345,0.16917293233082706,0.0,0.0,5.413533834586466,2.932330827067669,0.05639097744360902,1.8609022556390977,1.3533834586466165,0.8458646616541353,4.962406015037594,1.6353383458646615,0.0,2.142857142857143,1.0714285714285714
Alex Scott,Bournemouth,MID,751,0,0,15,0,0.0,0.0,62.676431424766974,0.0,1.7976031957390146,0.0,0.0,0.0,0.0,0.0,0.0,3.2356857523302263,0.0,0.0,0.0,0.0,1.3182423435419441,2.03728362183755
Antoine Semenyo,Bournemouth,MID,3209,0,5,125,2,81.0,0.0,51.857276410096595,45.6590838267373,3.505765035836709,0.14023060143346838,0.0,12.480523527578686,8.24555936428794,0.028046120286693673,4.767840448737925,1.5425366157681522,1.7388594577750078,8.02119040199439,2.1875973823621067,0.0,0.9535680897475849,2.047366780928638
Dango Ouattara,Bournemouth,MID,2006,7,0,62,18,75.0,11.0,47.19840478564308,51.011964107676974,2.781655034895314,0.0,0.3140578265204387,11.485543369890328,5.8325024925224325,0.08973080757726819,3.320039880358923,1.5702891326021933,1.9740777666999003,13.90827517447657,6.146560319042871,0.0,2.153539381854437,0.7178464606181455
